#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.45582  0.08681 -0.06503 -1.04800  0.000121  0.000046  0.000935     2.616
   1.46345  0.09424 -0.06674 -1.04336  0.000133  0.000050  0.000814     2.648
   1.47169  0.10230 -0.06847 -1.03895  0.000144  0.000054  0.000742     2.656
   1.48061  0.11103 -0.07025 -1.03851  0.000149  0.000057  0.000771     2.594
   1.49024  0.12048 -0.07213 -1.04318  0.000150  0.000060  0.000846     2.507
   1.50059  0.13064 -0.07412 -1.05421  0.000148  0.000061  0.000958     2.413
   1.51159  0.14145 -0.07618 -1.07305  0.000143  0.000062  0.001105     2.320
   1.52317  0.15284 -0.07821 -1.09396  0.000142  0.000062  0.001168     2.288
   1.53527  0.16479 -0.08013 -1.11345  0.000145  0.000063  0.001159     2.295
   1.54788  0.17728 -0.08181 -1.12649  0.000154  0.000065  0.001049     2.350
   1.56106  0.19039 -0.08320 -1.12960  0.000171  0.000069  0.000847     2.459
   1.57492  0.20421 -0.08430 -1.12579  0.000193  0.000075  0.000652     2.585
   1.58959  0.21885 -0.08512 -1.11508  0.000225  0.000081  0.000440     2.773
   1.60515  0.23440 -0.08574 -1.10474  0.000252  0.000088  0.000340     2.875
   1.62163  0.25088 -0.08620 -1.09442  0.000276  0.000094  0.000276     2.947
   1.63900  0.26825 -0.08656 -1.08572  0.000293  0.000100  0.000258     2.946
   1.65717  0.28642 -0.08686 -1.07988  0.000299  0.000104  0.000285     2.863
   1.67599  0.30523 -0.08714 -1.07463  0.000268  0.000111  0.000812     2.429
   1.69525  0.32449 -0.08742 -1.07101  0.000202  0.000127  0.003245     1.588
   1.71471  0.34395 -0.08768 -1.07561  0.000220  0.000156  0.004176     1.407
   1.73422  0.36346 -0.08788 -1.08130  0.000261  0.000188  0.004127     1.388
   1.75370  0.38293 -0.08799 -1.08629  0.000304  0.000218  0.003970     1.390
   1.77309  0.40233 -0.08798 -1.09090  0.000343  0.000247  0.003866     1.390
   1.79237  0.42160 -0.08785 -1.09487  0.000381  0.000275  0.003795     1.388
   1.81153  0.44076 -0.08757 -1.09855  0.000417  0.000302  0.003746     1.384
   1.83057  0.45980 -0.08714 -1.10122  0.000453  0.000328  0.003697     1.381
   1.84950  0.47872 -0.08653 -1.10315  0.000489  0.000355  0.003650     1.378
   1.86836  0.49756 -0.08572 -1.10336  0.000527  0.000383  0.003588     1.377
   1.88725  0.51643 -0.08470 -1.10044  0.000570  0.000414  0.003492     1.378
   1.90626  0.53540 -0.08347 -1.09593  0.000616  0.000447  0.003393     1.379
   1.92546  0.55454 -0.08205 -1.08985  0.000666  0.000482  0.003287     1.381
   1.94487  0.57388 -0.08045 -1.08290  0.000718  0.000520  0.003183     1.382
